,Код КПГЗ,Код ОКПД-2 (ОКПД2014)
609,01.04.01.05,26.30.50.120
610,01.04.01.07.02,28.29.22.120
611,01.04.01.08.02,32.99.11.190
612,01.04.01.12,22.21.29.110
613,01.04.01.16,20.51.14.110
614,01.04.02.04,14.12.12.120
615,01.04.04,28.99.39
616,01.05.01,20.59.52.190
617,01.06.02.01,32.99.53.130
618,01.06.02.02.01,26.51.61.110
619,01.07.01,31.01.12.190
620,01.07.01.04,31.01.11.150
621,01.07.01.06,31.01.13.000
622,01.07.03.01.04.02,32.20.13.132
623,01.07.03.01.06.02,32.20.13.150
624,01.07.03.02.01.06,32.20.13.166
625,01.07.03.02.02,32.20.13.160
626,01.07.03.02.02.01,32.20.13.168
627,01.07.03.03.03.03,32.20.15.110
628,01.07.03.04.02.01,32.20.14.130
629,01.07.03.04.02.02,32.20.14.130
630,01.07.03.04.03,32.20.14.110
631,01.07.03.04.03.02,32.20.14.110
632,01.07.03.04.04,32.20.14
633,01.07.03.04.04.01,32.20.14.160
634,01.07.04.01.01,26.11.22
635,01.07.04.01.02,32.20.20.140
636,01.07.04.01.03,26.40.51.000
637,01.07.04.02,26.70.16.190
638,01.07.04.04,25.11.10.000
639,01.07.04.04.02,25.11.10.000
640,01.07.04.04.02.03,25.11.10.000
641,01.07.04.04.02.11,25.11.10.000
642,01.07.05.05,20.59.52.110
643,01.07.06,28.99
644,01.07.08.06,28.29.60.000
645,01.07.08.08,28.29.60.000
646,01.07.08.09,28.29.60.000
647,01.07.09,28.99.32
648,01.07.09.02,28.29.43
649,01.07.09.02.02,28.29.43.000
650,01.07.11,90.03.13
651,01.07.11.01.02,90.03.13.000
652,01.07.11.02.01,59.20.33.000
653,01.07.11.03.03,13.92.16.119
654,01.08.01.06,32.30.13.190
655,01.08.01.09,32.30.14.112
656,01.08.01.13,32.30.15.110
657,01.01.01.01.02,10.61.31.110
658,01.01.01.01.11,10.86.10.400
659,01.01.01.02,10.61
660,01.01.01.02.01.11,10.61.22.130
661,01.01.01.06.01.01,10.84.12.150
662,01.01.01.06.01.02,10.84.12.150
663,01.01.01.06.01.04,10.84.12.150
664,01.01.01.06.02,10.84.12.120
665,01.01.01.06.04,10.84.12.180
666,01.08.01.24,32.30.15.299
667,01.08.01.35,32.30.15.110
668,01.08.01.38,30.91.13.110
669,01.08.01.40,32.30.15.299
670,01.08.02.03,32.30.15.110
671,01.08.02.09,32.30.15.299
672,01.08.02.16,32.30.15.110
673,01.08.02.24,32.30.15.110
674,01.08.02.29,32.30.15.110
675,01.09.01,29.10
676,01.01.01.12.01.02,10.41.24.000
677,01.01.01.13,10.84
678,01.01.01.17,01.11.99.190
679,01.01.01.19,10.83
680,01.01.02.02,01.13.43
681,01.01.02.02.01,01.13.43.190
682,01.01.02.05,01.13.41.110
683,01.01.02.10,01.13.32.000
684,01.09.01.02,29.10.41.111
685,01.09.08.03,29.32.30.390
686,01.10.01.02.02,19.20.29.130
687,01.10.03.05,27.12.40.000
688,01.10.03.07,27.12.40.000
689,01.10.04,27.90.1
690,01.10.04.01,27.12.40.000
691,01.10.05.01.06,27.90.20.110
692,01.10.05.02,27.40.1
693,01.01.02.14,01.13.49.120
694,01.01.02.20,01.11.61.000
695,01.01.02.21,01.13.16.000
696,01.01.02.26,01.26.1
697,01.01.02.28,01.13.59.000
698,01.01.03.06,01.23.12.000
699,01.01.04,10.39
700,01.01.04.03,01.24.24.000
701,01.01.04.05,01.25.19.150
702,01.01.04.13,01.25.19.190
703,01.01.04.15,01.25.19.190
704,01.01.06.02,10.71.11
705,01.01.06.02.01,10.71.11.110
706,01.01.06.02.06,10.71.11.110
707,01.01.07.02,10.82.22.110
708,01.01.07.05,10.71.12.110
709,01.01.07.11,10.82.23.210
710,01.01.08,10.13
711,01.01.08.01.05,10.11.11.120
712,01.01.08.01.06,10.11.13.130
713,01.10.05.02.03.02,27.40.15.114
714,01.10.05.02.03.02.01,27.40.15.111
715,01.10.05.02.03.03.02,27.40.12.000
716,01.10.05.02.04,27.40.39.190
717,01.10.05.03.02.02,27.40.3
718,01.11.01,28.92
719,01.11.01.02,28.25.12
720,01.11.01.03.11.06,28.25.11.110
721,01.11.01.04.07,23.42.10.120
722,01.11.01.04.11,22.29.26.119
723,01.11.01.06.06,26.51.64.190
724,01.11.01.07.06,28.14.11.130
725,01.11.02.01.07,25.73.30.299
726,01.11.02.02,25.73.3
727,01.01.08.01.07,10.11.39.190
728,01.01.08.03,10.13.14
729,01.01.09.01.03,01.47.22.120
730,01.01.10.03.04,10.51.56.152
731,01.01.11.04,10.20.25.190
732,01.01.11.04.02,10.20.25.113
733,01.01.12.06,10.20.32.110
734,01.11.03.03,23.11.12.120
735,01.11.03.04.02,08.12.12.140
736,01.11.03.05.06,20.30.12.120
737,01.11.03.05.14,20.13.43.193
